rank,canonical_id,canonical_name,medium,language,year,decade,primary_genre,theme,genres,popularity,favourites,trending,blended_score,native,aliases,site_url,anilist_id
69,the-advanced-player-of-the-tutorial-tower,The Advanced Player of the Tutorial Tower,webtoon,ko,2020,2020s,Action,Urban Fantasy,Action|Adventure|Fantasy,24470,577,1,0.4745,튜토리얼 탑의 고인물,Der Fortgeschrittene Spieler des Tutorialturms|El jugador avanzado de la torre del tutorial|L'Expert de la Tour Tutoriel|The Tutorial Tower of the Advanced Player|Tutorial Tabui Goinmul|ผู้เล่นขั้นเทพแห่งหอคอยฝึกสอน|チュートリアル塔の廃人|被塔詛咒的獵人|被塔诅咒的猎人|튜토리얼 탑의 고인물,https://anilist.co/manga/119276,119276
70,unholy-blood,Unholy Blood,manhwa,ko,2020,2020s,Action,Vampire,Action|Drama|Romance|Supernatural,24795,1292,0,0.4723,화이트 블러드,Queen of Thorns|Sangre Vengadora|Unholy Blood – Die Rache der Vampirin|White Blood|Белая кровь.|ホワイト・ブラッド|荆棘女王|血紅的白玫瑰|화이트 블러드,https://anilist.co/manga/115000,115000
71,log-in-murim,Log-in Murim,manhwa,ko,2020,2020s,Action,Martial Arts,Action|Adventure|Fantasy,22422,1012,2,0.4681,로그인 무림,Login Murim|Murim Login|ログイン武林|登录武林系统|로그인 무림,https://anilist.co/manga/120385,120385
72,dungeon-reset,Dungeon Reset,manhwa,ko,2020,2020s,Action,Dungeon,Action|Adventure|Comedy|Fantasy,22215,661,2,0.4671,던전 리셋,Tencen Liseys|สมรภูมิไม่สิ้นสุด|ダンジョンリセット|副本重置|던전 리셋,https://anilist.co/manga/116506,116506
73,the-academy-s-undercover-professor,The Academy's Undercover Professor,manhwa,ko,2022,2020s,Action,School,Action|Adventure|Fantasy,21483,730,3,0.467,아카데미에 위장취업당했다,Academy Wijangchwieopdanghaetda|Academy's Undercover Professor|I Got a Fake Job at the Academy|魔法学院的伪装教师|아카데미에 위장취업당했다,https://anilist.co/manga/150836,150836
74,fff-class-trashero,FFF-Class Trashero,manhwa,ko,2019,2010s,Action,Isekai,Action|Adventure|Comedy|Drama|Fantasy,23628,887,0,0.4667,FFF급 관심용사,FFF Geum Gwansimyongsa|FFF-Class Trash hero|FFF级勇士求关注|FFF급 관심용사,https://anilist.co/manga/113666,113666
75,blink-master-of-the-magic-academy,Blink Master of the Magic Academy,manhwa,ko,2024,2020s,Action,Isekai,Action|Adventure|Fantasy,18588,608,7,0.4652,마법학교 앞점멸 천재가 되었다,I Became a Flashing Genius at the Magic Academy|Mabeop Hakgyo Apjeommyeol Cheonjae-ga Doeeotda|Magic Academy's Genius Blinker|Quick Teleporting Genius from Magic School|마법학교 앞점멸 천재가 되었다,https://anilist.co/manga/178379,178379
76,descended-from-divinity,Descended from Divinity,manhwa,ko,2021,2020s,Action,Reincarnation,Action|Fantasy,18977,692,6,0.4639,천마는 평범하게 살 수 없다,Cheonmaneun Pyeongbeomhage Sal Su Eopda|The Heavenly Demon Can’t Live a Normal Life|천마는 평범하게 살 수 없다,https://anilist.co/manga/136204,136204
77,kill-the-hero,Kill the Hero,manhwa,ko,2020,2020s,Action,Revenge,Action|Adventure|Fantasy,22124,693,1,0.4629,킬더히어로,킬더히어로,https://anilist.co/manga/117536,117536
78,jungle-juice,Jungle Juice,manhwa,ko,2020,2020s,Action,Body Horror,Action|Fantasy|Sci-Fi,21236,822,2,0.4619,정글쥬스,Jugo de Jungla|ジャングルジュース|丛林果汁|叢林果汁|정글쥬스,https://anilist.co/manga/128882,128882
79,time-limited-genius-dark-knight,Time-Limited Genius Dark Knight,webtoon,ko,2023,2020s,Action,Isekai,Action|Fantasy,17432,478,8,0.4616,시한부 천재 암흑기사,Sihanbu Cheonjae Amheukgisa|Terminally ill Dark Knight|Terminally-Ill Genius Dark Knight|อัศวินดำล่าท้าเวลา|身患绝症的天才黑暗骑士|시한부 천재 암흑기사,https://anilist.co/manga/165182,165182
80,girls-of-the-wild-s,Girls of the Wild's,manhwa,ko,2011,2010s,Action,Love Triangle,Action|Comedy|Drama|Romance,22297,623,0,0.46,소녀더와일즈,Girl the Wild's|Las chicas de Wilds|Sonyeo the Wild's|วีน เหวี่ยง WILD มัธยมสาวพันธุ์ดุ|少女・ザ・ワイルズ|狂野少女|소녀더와일즈,https://anilist.co/manga/75275,75275
81,your-throne,Your Throne,webtoon,ko,2020,2020s,Drama,Revenge,Drama|Fantasy|Psychological|Romance|Thriller,21561,1173,1,0.4599,하루만 네가 되고 싶어,"Dein Thron|Haruman Nega Doego Sipeo|I Wanna Be U|I Want to Be You, Just for a Day|La duchesse déchue|Tu trono|ชิงชีวิตพลิกลิขิตชะตา|以你之名|君の全てを奪いたい|惡女的變身|하루만 네가 되고 싶어",https://anilist.co/manga/114542,114542
82,the-breaker-new-waves,THE BREAKER - NEW WAVES,manhwa,ko,2010,2010s,Action,Martial Arts,Action|Comedy|Drama|Romance,22259,945,0,0.4598,브레이커NW,The Breaker 2|The Breaker: NW|The Breaker: New Waves|The Breaker: Part 2|브레이커NW,https://anilist.co/manga/52651,52651
83,the-reaper,The Reaper,manhwa,ko,2022,2020s,Action,Assassins,Action|Adventure|Drama|Fantasy,21292,891,1,0.4585,사신표월,Death God of the Drifting Moon|Grim Reaper's Floating Moon|Reaper of the Drifting Moon|Sasinpyowol|사신표월,https://anilist.co/manga/153432,153432
84,leviathan,Leviathan,manhwa,ko,2018,2010s,Action,Post-Apocalyptic,Action|Adventure|Fantasy,19872,927,3,0.458,심해수,DeepWater|Leviatán|Leviatã|Simhaesu|เลวีอาธาน อสูรใต้ทะเลลึก|末世泽国|深海兽|深海獸|심해수,https://anilist.co/manga/110605,110605
85,the-villainess-turns-the-hourglass,The Villainess Turns the Hourglass,webtoon,ko,2020,2020s,Drama,Revenge,Drama|Fantasy|Psychological|Romance,21675,1018,0,0.4568,악녀는 모래시계를 되돌린다,Agnyeoneun Molaesigyeleul Doedollinda|Aria & Die goldene Sanduhr der Zeit|La villana retrocede el reloj de arena|The Villainess Reverses the Hourglass|ย้อนเวลากลับมาร้าย|反派女主的时间沙漏|悪女は砂時計をひっくり返す|惡女翻轉時光沙漏|时光沙漏·逆转命运的少女|악녀는 모래시계를 되돌린다,https://anilist.co/manga/116382,116382
86,the-gamer,The Gamer,manhwa,ko,2013,2010s,Action,Video Games,Action|Adventure|Fantasy,21561,657,0,0.4562,더 게이머,더 게이머,https://anilist.co/manga/85155,85155
87,reality-quest,Reality Quest,manhwa,ko,2021,2020s,Action,Bullying,Action|Supernatural,16403,526,8,0.4546,현실퀘스트,Hyeonsil Quest|IRL Quest|现实闯关|現實遊戲|현실퀘스트,https://anilist.co/manga/141705,141705
88,the-remarried-empress,The Remarried Empress,webtoon,ko,2019,2010s,Drama,Royal Affairs,Drama|Fantasy|Romance,19909,1171,2,0.4545,재혼 황후,Die neuvermählte Kaiserin|Jaehon Hwanghu|L'Impératrice Remariée|La emperatriz divorciada|The Second Marriage|การแต่งงานครั้งใหม่ของจักรพรรดินี|再婚承認を要求します|再婚皇后|재혼 황후,https://anilist.co/manga/113055,113055
89,return-to-player,Return to Player,manhwa,ko,2020,2020s,Action,Gods,Action|Adventure|Fantasy,19198,513,3,0.454,리턴 투 플레이어,リターン・トゥ・プレイヤー|重生最强玩家|重返玩家：Return to Player|리턴 투 플레이어,https://anilist.co/manga/124577,124577
90,shotgun-boy,Shotgun Boy,webtoon,ko,2021,2020s,Action,Demons,Action|Horror|Psychological|Supernatural|Thriller,21056,697,0,0.4534,엽총소년,Chico escopeta|Le Garçon au fusil|Yeopchongsonyeon|猎枪少年|엽총소년,https://anilist.co/manga/130229,130229
91,weak-hero,Weak Hero,webtoon,ko,2018,2010s,Action,School,Action|Drama,21008,1060,0,0.4532,약한영웅,Héros fragile|Weak Hero: Un héroe débil|Yakanyeongung|약한영웅,https://anilist.co/manga/113488,113488
92,the-sound-of-magic-annarasumanara,The Sound of Magic: Annarasumanara,manhwa,ko,2010,2010s,Drama,Philosophy,Drama|Psychological|Slice of Life|Supernatural,20957,872,0,0.4529,안나라수마나라,Annarasumanara|Annarasumanara: El sonido de la magia|АН НА РА СУ МА НА РА|안나라수마나라,https://anilist.co/manga/60079,60079
93,singwahamkke-doraon-gisawangnim,Singwahamkke Doraon Gisawangnim,manhwa,ko,2023,2020s,Action,Gods,Action|Adventure|Fantasy,17237,460,6,0.4528,신과함께 돌아온 기사왕님,300年ぶりに神と帰還した騎士王|The Knight King Who Returned with a God|ราชาอัศวินผู้มากับเทพ|与神同归的骑士|与神同归的骑士王|與神同歸的騎士王|신과함께 돌아온 기사왕님,https://anilist.co/manga/165287,165287
94,the-art-of-reincarnation,The Art of Reincarnation,manhwa,ko,2022,2020s,Action,Reincarnation,Action|Adventure|Drama|Fantasy,19060,425,2,0.4494,환생의 정석,Hwansaengui Jeongseok|Standard of Reincarnation|The Essence of Reincarnation|สูตรสำเร็จแห่งการเกิดใหม่|転生の定石|轉世定律|환생의 정석,https://anilist.co/manga/153880,153880
95,surviving-the-game-as-a-barbarian,Surviving the Game as a Barbarian,manhwa,ko,2023,2020s,Action,Dungeon,Action|Adventure|Fantasy,18201,744,3,0.4479,게임 속 바바리안으로 살아남기,Game Sok Babarian-euro Saranamgi|เอาชีวิตรอดในเกมฉบับคนเถื่อน|化身野蛮人在异界生存|變成蠻族！遊戲生存戰|게임 속 바바리안으로 살아남기,https://anilist.co/manga/164857,164857
96,absolute-regression,Absolute Regression,manhwa,ko,2024,2020s,Action,Martial Arts,Action|Fantasy,14976,580,9,0.4478,절대회귀,Jeoldaehoegwi|ย้อนชะตาล่าข้ามภพ|絕對回歸|绝对回归|절대회귀,https://anilist.co/manga/180891,180891
97,roxana,Roxana,webtoon,ko,2021,2020s,Drama,Villainess,Drama|Fantasy|Horror|Psychological|Romance,19780,1286,0,0.4463,여주인공의 오빠를 지키는 방법,How to Protect the Heroine’s Older Brother|The Way to Protect the Female Lead's Older Brother|Yeojuingongui Oppareul Jikineun Bangbeop|Как защитить старшего брата главной героини|ฉันขอปกป้องพี่ชายนางเอก|ロクサナ〜悪女がヒロインの兄を守る方法〜|保护女主角哥哥的方法|여주인공의 오빠를 지키는 방법,https://anilist.co/manga/129210,129210
98,dungeon-odyssey,Dungeon Odyssey,manhwa,ko,2022,2020s,Action,Dungeon,Action|Adventure|Drama|Fantasy,18390,773,2,0.4453,던전 견문록,Dungeon Experience Book|Dungeon Gyeonmullok|ダンジョン見聞録|던전 견문록,https://anilist.co/manga/155485,155485
99,i-am-the-sorcerer-king,I Am the Sorcerer King,manhwa,ko,2019,2010s,Action,Magic,Action|Adventure|Fantasy,18975,614,1,0.4452,나는 마도왕이다,Naneun Madowangida|나는 마도왕이다,https://anilist.co/manga/110042,110042
100,heavenly-demon-reborn,Heavenly Demon Reborn!,manhwa,ko,2018,2010s,Action,Martial Arts,Action|Adventure|Fantasy,17743,653,3,0.4449,신마경천기,Chronicles of Heavenly Demon|Shinma Gyeongcheongi|신마경천기,https://anilist.co/manga/107518,107518
